ledger_id,project_id,sap_cost_center,posting_date,gl_account,amount,doc_type,description,vendor,tax_code,gst_amount,_migration_flag
1,1,CC-MEL-01,2026-02-28,GL-6100,391115.0,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Hickory Group,G11,39090.03,ROUNDING_DIFF
2,1,CC-MEL-01,2026-08-09,GL-6100,875771.8,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Kane Constructions,G11,87577.18,OK
3,1,CC-MEL-01,2026-02-25,GL-6100,1033214.82,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Kane Constructions,G11,103321.48,OK
4,1,CC-MEL-01,2026-07-10,GL-6100,1331364.7,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Hickory Group,G11,133136.47,OK
5,1,CC-MEL-01,2026-07-19,GL-6100,814155.36,INV,[VARIANCE] Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Kapitol Group,G11,81415.54,OK
6,1,CC-MEL-01,2026-10-18,GL-5200,648008.36,INV,Raw Materials & Consumables — Collins Arch — Stage 2 Fit-Out,Hanson Construction Materials,G11,64800.84,GL_REMAP
7,1,CC-MEL-01,2026-06-17,GL-6100,1301530.28,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Kane Constructions,G11,130153.03,OK
8,1,CC-MEL-01,2026-07-10,GL-6200,682594.43,INV,Raw Materials & Consumables — Collins Arch — Stage 2 Fit-Out,Saint-Gobain Placo,G11,68259.44,OK
9,1,CC-MEL-01,2026-11-12,GL-6200,515791.64,INV,[VARIANCE] Raw Materials & Consumables — Collins Arch — Stage 2 Fit-Out,James Hardie Building Products,G11,51579.16,OK
10,1,CC-MEL-01,2026-08-30,GL-6100,213021.82,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Hacer Group,G11,21302.18,OK
11,1,CC-MEL-01,2026-03-31,GL-6100,458451.51,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Built Environs,G11,45845.15,OK
12,1,CC-MEL-01,2026-10-24,GL-6500,11708.23,INV,[VARIANCE] Regulatory Fees & Permit Costs — Collins Arch — Stage 2 Fit-Out,DELWP Victoria,G12,0.0,OK
13,1,CC-MEL-01,2026-04-29,GL-6100,1112705.76,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Built Environs,G11,111270.58,OK
14,1,CC-MEL-01,2026-07-03,GL-6500,13472.43,INV,Regulatory Fees & Permit Costs — Collins Arch — Stage 2 Fit-Out,EPA Victoria,G12,0.0,OK
15,1,CC-MEL-01,2026-05-11,GL-6100,685526.83,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,John Holland Group,G11,68552.68,OK
16,1,CC-MEL-01,2026-07-06,GL-6400,219544.52,INV,[VARIANCE] Professional & Consulting Fees — Collins Arch — Stage 2 Fit-Out,Jacobs Engineering Group,G11,21954.45,OK
17,1,CC-MEL-01,2026-04-13,GL-6100,572490.79,INV,[VARIANCE] Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Kane Constructions,G11,57249.08,OK
18,1,CC-MEL-01,2026-04-01,GL-6400,320960.79,INV,Professional & Consulting Fees — Collins Arch — Stage 2 Fit-Out,GHD Advisory,G11,32096.08,OK
19,1,CC-MEL-01,2026-10-22,GL-6500,39064.69,INV,Regulatory Fees & Permit Costs — Collins Arch — Stage 2 Fit-Out,EPA Victoria,G12,0.0,MISSING_IN_NEW
20,1,CC-MEL-01,2026-10-09,GL-6100,347030.76,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,John Holland Group,G11,34703.08,OK
21,1,CC-MEL-01,2026-11-24,GL-6100,1079387.83,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Cockram Constructions,G11,107938.78,OK
22,1,CC-MEL-01,2026-06-16,GL-6100,850024.15,INV,[VARIANCE] Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Probuild Constructions,G11,85002.42,OK
23,1,CC-MEL-01,2026-07-19,GL-6100,1666575.63,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Hacer Group,G11,166657.56,OK
24,1,CC-MEL-01,2026-03-16,GL-6400,59422.43,INV,Professional & Consulting Fees — Collins Arch — Stage 2 Fit-Out,Stantec Consulting,G11,5942.24,OK
25,1,CC-MEL-01,2026-02-02,GL-6300,121452.35,INV,Equipment & Plant Hire — Collins Arch — Stage 2 Fit-Out,Tutt Bryant Equipment,G11,12145.24,OK
26,1,CC-MEL-01,2026-01-12,GL-6100,1014043.58,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Kapitol Group,G11,101404.36,MISSING_IN_NEW
27,1,CC-MEL-01,2026-01-29,GL-6200,652259.38,INV,Raw Materials & Consumables — Collins Arch — Stage 2 Fit-Out,Boral Construction Materials,G11,65225.94,OK
28,1,CC-MEL-01,2026-04-11,GL-6100,614325.24,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Kane Constructions,G11,61432.52,OK
29,1,CC-MEL-01,2026-09-04,GL-6100,556981.77,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Watpac Civil & Mining,G11,55698.18,MISSING_IN_NEW
30,1,CC-MEL-01,2026-05-28,GL-6100,413115.96,INV,[VARIANCE] Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Hacer Group,G11,41311.6,OK
31,1,CC-MEL-01,2026-07-05,GL-6200,412585.65,INV,[VARIANCE] Raw Materials & Consumables — Collins Arch — Stage 2 Fit-Out,Hanson Construction Materials,G11,41258.57,OK
32,1,CC-MEL-01,2026-12-20,GL-6100,1642476.06,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Built Environs,G11,164247.61,OK
33,1,CC-MEL-01,2026-08-05,GL-6500,6639.24,INV,Regulatory Fees & Permit Costs — Collins Arch — Stage 2 Fit-Out,WorkSafe Victoria,G12,0.0,OK
34,1,CC-MEL-01,2026-06-06,GL-6200,209704.67,INV,[VARIANCE] Raw Materials & Consumables — Collins Arch — Stage 2 Fit-Out,James Hardie Building Products,G11,20970.47,OK
35,1,CC-MEL-01,2026-11-20,GL-5100,278865.42,INV,[VARIANCE] Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Watpac Civil & Mining,G11,27886.54,GL_REMAP
36,1,CC-MEL-01,2026-10-27,GL-6200,881080.45,INV,Raw Materials & Consumables — Collins Arch — Stage 2 Fit-Out,Holcim Australia Pty Ltd,G11,88108.04,OK
37,1,CC-MEL-01,2026-10-01,GL-6400,63939.28,INV,Professional & Consulting Fees — Collins Arch — Stage 2 Fit-Out,Arup Pty Ltd,G11,6393.93,OK
38,1,CC-MEL-01,2026-09-24,GL-6200,815276.05,INV,Raw Materials & Consumables — Collins Arch — Stage 2 Fit-Out,Rebar Direct Pty Ltd,G11,81527.61,OK
39,1,CC-MEL-01,2026-11-26,GL-6400,193092.8,INV,[VARIANCE] Professional & Consulting Fees — Collins Arch — Stage 2 Fit-Out,Stantec Consulting,G11,19309.28,OK
40,1,CC-MEL-01,2026-06-28,GL-6300,149856.14,INV,Equipment & Plant Hire — Collins Arch — Stage 2 Fit-Out,All Cranes Hire & Sales,G11,14985.61,OK
41,1,CC-MEL-01,2026-06-11,GL-6400,127243.13,INV,Professional & Consulting Fees — Collins Arch — Stage 2 Fit-Out,Arup Pty Ltd,G11,12724.31,OK
42,1,CC-MEL-01,2026-07-01,GL-6200,334092.69,INV,Raw Materials & Consumables — Collins Arch — Stage 2 Fit-Out,Hanson Construction Materials,G11,33409.27,OK
43,1,CC-MEL-01,2026-09-02,GL-6200,517821.38,INV,Raw Materials & Consumables — Collins Arch — Stage 2 Fit-Out,Boral Construction Materials,G11,51782.14,OK
44,1,CC-MEL-01,2026-02-01,GL-6100,1329720.46,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Watpac Civil & Mining,G11,132972.05,OK
45,1,CC-MEL-01,2026-03-09,GL-6400,127915.35,INV,Professional & Consulting Fees — Collins Arch — Stage 2 Fit-Out,WSP Australia,G11,12791.54,OK
46,1,CC-MEL-01,2026-01-20,GL-6100,290841.01,INV,[VARIANCE] Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Probuild Constructions,G11,29084.1,OK
47,1,CC-MEL-01,2026-03-08,GL-6100,839144.53,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Hickory Group,G11,83914.45,OK
48,1,CC-MEL-01,2026-07-15,GL-6100,719268.65,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Buxton Construction,G11,71926.87,OK
49,1,CC-MEL-01,2026-05-26,GL-5300,244964.88,INV,Equipment & Plant Hire — Collins Arch — Stage 2 Fit-Out,Sherrin Rentals,G11,24496.49,GL_REMAP
50,1,CC-MEL-01,2026-09-14,GL-6100,555710.26,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,John Holland Group,G11,55571.03,OK
51,1,CC-MEL-01,2026-10-17,GL-6500,23467.39,INV,Regulatory Fees & Permit Costs — Collins Arch — Stage 2 Fit-Out,Vic Department of Transport,G12,0.0,OK
52,1,CC-MEL-01,2026-10-18,GL-6300,161087.7,INV,Equipment & Plant Hire — Collins Arch — Stage 2 Fit-Out,Tutt Bryant Equipment,G11,16108.77,OK
53,1,CC-MEL-01,2026-04-14,GL-6100,1255858.95,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Kane Constructions,G11,125585.9,OK
54,1,CC-MEL-01,2026-01-14,GL-6400,71797.06,INV,Professional & Consulting Fees — Collins Arch — Stage 2 Fit-Out,Stantec Consulting,G11,7179.71,OK
55,1,CC-MEL-01,2026-08-19,GL-6200,199802.05,INV,Raw Materials & Consumables — Collins Arch — Stage 2 Fit-Out,Boral Construction Materials,G11,19980.21,OK
56,1,CC-MEL-01,2026-06-14,GL-6200,299212.12,INV,Raw Materials & Consumables — Collins Arch — Stage 2 Fit-Out,Boral Construction Materials,G11,29921.21,OK
57,1,CC-MEL-01,2026-08-14,GL-6100,1092959.35,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Kapitol Group,G11,109295.94,OK
58,1,CC-MEL-01,2026-04-01,GL-6200,621066.44,INV,Raw Materials & Consumables — Collins Arch — Stage 2 Fit-Out,BlueScope Distribution,G11,62106.64,OK
59,1,CC-MEL-01,2026-11-23,GL-6100,1575488.71,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Kane Constructions,G11,157548.87,OK
60,1,CC-MEL-01,2026-10-26,GL-6100,983521.62,INV,Direct Labour & Subcontract Costs — Collins Arch — Stage 2 Fit-Out,Probuild Constructions,G11,98352.16,OK
61,2,CC-MEL-02,2026-12-31,GL-6200,313142.17,INV,Raw Materials & Consumables — Victorian Heart Hospital Ext.,Saint-Gobain Placo,G11,31314.22,OK
62,2,CC-MEL-02,2026-11-17,GL-6200,735590.22,INV,Raw Materials & Consumables — Victorian Heart Hospital Ext.,BlueScope Distribution,G11,73559.02,OK
63,2,CC-MEL-02,2026-11-26,GL-6300,226866.05,INV,Equipment & Plant Hire — Victorian Heart Hospital Ext.,Kennards Hire,G11,22686.6,OK
64,2,CC-MEL-02,2026-02-08,GL-6100,1593514.73,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Buxton Construction,G11,159351.47,OK
65,2,CC-MEL-02,2027-06-19,GL-6100,295414.26,INV,[VARIANCE] Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Built Environs,G11,29541.43,OK
66,2,CC-MEL-02,2026-07-14,GL-6600,1559.94,INV,Travel & Accommodation — Victorian Heart Hospital Ext.,Crown Towers Melbourne,G11,155.99,OK
67,2,CC-MEL-02,2026-06-27,GL-6100,434014.47,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Kane Constructions,G11,43401.45,MISSING_IN_NEW
68,2,CC-MEL-02,2027-06-23,GL-6100,558855.15,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Hickory Group,G11,55885.52,OK
69,2,CC-MEL-02,2027-04-05,GL-6400,119559.0,INV,Professional & Consulting Fees — Victorian Heart Hospital Ext.,Jacobs Engineering Group,G11,11924.37,ROUNDING_DIFF
70,2,CC-MEL-02,2027-01-14,GL-6200,944173.0,INV,[VARIANCE] Raw Materials & Consumables — Victorian Heart Hospital Ext.,Boral Construction Materials,G11,94635.06,ROUNDING_DIFF
71,2,CC-MEL-02,2026-05-02,GL-6100,1214765.38,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Hickory Group,G11,121476.54,OK
72,2,CC-MEL-02,2026-11-30,GL-6400,76559.22,INV,Professional & Consulting Fees — Victorian Heart Hospital Ext.,AECOM Australia Pty Ltd,G11,7655.92,OK
73,2,CC-MEL-02,2026-04-03,GL-6200,271300.68,INV,[VARIANCE] Raw Materials & Consumables — Victorian Heart Hospital Ext.,Hanson Construction Materials,G11,27130.07,OK
74,2,CC-MEL-02,2026-10-02,GL-6200,698105.74,INV,Raw Materials & Consumables — Victorian Heart Hospital Ext.,Adbri Masonry,G11,69810.57,OK
75,2,CC-MEL-02,2026-12-10,GL-6100,651848.0,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Kapitol Group,G11,64907.57,ROUNDING_DIFF
76,2,CC-MEL-02,2026-12-08,GL-6100,628532.09,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Cockram Constructions,G11,62853.21,OK
77,2,CC-MEL-02,2026-11-26,GL-6500,22452.96,INV,Regulatory Fees & Permit Costs — Victorian Heart Hospital Ext.,NSW Planning Department,G12,0.0,OK
78,2,CC-MEL-02,2027-02-16,GL-6200,438743.42,INV,Raw Materials & Consumables — Victorian Heart Hospital Ext.,Boral Construction Materials,G11,43874.34,OK
79,2,CC-MEL-02,2027-06-12,GL-6200,632503.1,INV,[VARIANCE] Raw Materials & Consumables — Victorian Heart Hospital Ext.,Hanson Construction Materials,G11,63250.31,OK
80,2,CC-MEL-02,2026-02-23,GL-6600,5455.59,INV,Travel & Accommodation — Victorian Heart Hospital Ext.,Mantra on Little Bourke,G11,545.56,OK
81,2,CC-MEL-02,2027-01-07,GL-6300,191436.89,INV,Equipment & Plant Hire — Victorian Heart Hospital Ext.,Sherrin Rentals,G11,19143.69,OK
82,2,CC-MEL-02,2026-05-19,GL-6100,770367.18,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,John Holland Group,G11,77036.72,OK
83,2,CC-MEL-02,2027-06-23,GL-6200,840373.0,INV,Raw Materials & Consumables — Victorian Heart Hospital Ext.,BlueScope Distribution,G11,83840.04,ROUNDING_DIFF
84,2,CC-MEL-02,2027-02-06,GL-6100,1611680.46,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Hacer Group,G11,161168.05,OK
85,2,CC-MEL-02,2026-09-04,GL-6100,249564.48,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Hacer Group,G11,24956.45,OK
86,2,CC-MEL-02,2026-08-05,GL-6100,569523.64,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Probuild Constructions,G11,56952.36,OK
87,2,CC-MEL-02,2026-04-14,GL-6100,1324065.66,INV,[VARIANCE] Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Probuild Constructions,G11,132406.57,OK
88,2,CC-MEL-02,2027-03-22,GL-6100,210683.13,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,John Holland Group,G11,21068.31,OK
